11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:4  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:7  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:8  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:9  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:10  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:11  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:12  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:13  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:14  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:15  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:17  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0x1f91, Seq:16  
11/23/22 14:58:25 AscTCVerTM Acceptance success, ID:0xff91, Seq:4106  
11/23/22 14:58:25 AscTCVerTM Execution success, ID:0xff91, Seq:4106  
11/23/22 14:58:26 AscTCVerTM Acceptance success, ID:0xff91, Seq:4109  
11/23/22 14:58:26 AscTCVerTM Execution success, ID:0xff91, Seq:4109  
11/23/22 14:58:29 AscTCVerTM Acceptance success, ID:0xff91, Seq:4153  
11/23/22 14:58:30 AscTCVerTM Execution success, ID:0xff91, Seq:4153  
11/23/22 14:58:30 AscTCVerTM Acceptance success, ID:0xff91, Seq:4110  
11/23/22 14:58:30 AscTCVerTM Execution success, ID:0xff91, Seq:4110  
11/23/22 14:58:30 AscTCVerTM Acceptance success, ID:0xff91, Seq:4108  
11/23/22 14:58:30 AscTCVerTM Execution success, ID:0xff91, Seq:4108  
11/23/22 14:58:30 AscTCVerTM Acceptance success, ID:0xff91, Seq:4113  
11/23/22 14:58:30 AscTCVerTM Execution success, ID:0xff91, Seq:4113  
11/23/22 14:58:31 AscTCVerTM Acceptance success, ID:0xff91, Seq:4158  
11/23/22 14:58:32 AscTCVerTM Execution success, ID:0xff91, Seq:4158  
11/23/22 14:58:32 AscTCVerTM Acceptance success, ID:0xff91, Seq:4106  
11/23/22 14:58:32 AscTCVerTM Execution success, ID:0xff91, Seq:4106  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0xff91, Seq:4151  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0xff91, Seq:4151  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0xff91, Seq:4108  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0xff91, Seq:4108  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0xff91, Seq:4152  
11/23/22 14:58:33 AscImageTM Offset=     0, Size=656  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0xff91, Seq:4152  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0xff91, Seq:4114  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0xff91, Seq:4114  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0xff91, Seq:4157  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0xff91, Seq:4157  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:14853  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:3  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:1  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:2  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:4  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:5  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:6  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:9  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:10  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:11  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:17  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:14853  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0x1f91, Seq:12  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:3  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:1  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:2  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:4  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:5  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:6  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:9  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:10  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:11  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:17  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0x1f91, Seq:12  
11/23/22 14:58:33 AscTCVerTM Acceptance success, ID:0xff91, Seq:4098  
11/23/22 14:58:33 AscTCVerTM Execution success, ID:0xff91, Seq:4098  
11/23/22 14:58:34 AscTCVerTM Acceptance success, ID:0xff91, Seq:4104  
11/23/22 14:58:34 AscTCVerTM Execution success, ID:0xff91, Seq:4104  
11/23/22 14:58:38 AscTCVerTM Acceptance success, ID:0xff91, Seq:4153  
11/23/22 14:58:38 AscTCVerTM Execution success, ID:0xff91, Seq:4153  
11/23/22 14:58:38 AscTCVerTM Acceptance success, ID:0xff91, Seq:4105  
11/23/22 14:58:38 AscTCVerTM Execution success, ID:0xff91, Seq:4105  
11/23/22 14:58:39 AscTCVerTM Acceptance success, ID:0xff91, Seq:4144  
11/23/22 14:58:39 AscTCVerTM Execution success, ID:0xff91, Seq:4144  
11/23/22 14:58:39 AscTCVerTM Acceptance success, ID:0xff91, Seq:4103  
11/23/22 14:58:39 AscTCVerTM Execution success, ID:0xff91, Seq:4103  
11/23/22 14:58:39 AscTCVerTM Acceptance success, ID:0xff91, Seq:4152  
11/23/22 14:58:39 AscImageTM Offset=     0, Size=2023  
11/23/22 14:58:39 AscImageTM Offset=  2023, Size=2023  
11/23/22 14:58:39 AscImageTM Offset=  4046, Size=2023  
11/23/22 14:58:39 AscImageTM Offset=  6069, Size=2023  
11/23/22 14:58:39 AscImageTM Offset=  8092, Size=2023  
11/23/22 14:58:39 AscImageTM Offset= 10115, Size=2023  
11/23/22 14:58:39 AscImageTM Offset= 12138, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 14161, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 16184, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 18207, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 20230, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 22253, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 24276, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 26299, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 28322, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 30345, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 32368, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 34391, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 36414, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 38437, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 40460, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 42483, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 44506, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 46529, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 48552, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 50575, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 52598, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 54621, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 56644, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 58667, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 60690, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 62713, Size=2023  
11/23/22 14:58:40 AscImageTM Offset= 64736, Size=2023  
